transaction_id,address,latitude,longitude,contract_date,price_krw,exclusive_area_m2,floor,build_year,property_type,transaction_type,is_cancelled
SAMPLE-001,서울시 학습구 기준로 1,37.5665,126.9780,2025-10-15,500000000,84.0,10,2015,아파트,매매,false
SAMPLE-002,서울시 학습구 가까운로 2,37.5680,126.9790,2025-07-20,520000000,82.0,7,2014,아파트,매매,false
SAMPLE-003,서울시 학습구 가까운로 3,37.5630,126.9810,2025-03-08,480000000,85.0,12,2017,아파트,매매,false
SAMPLE-004,서울시 학습구 가까운로 4,37.5710,126.9740,2024-08-30,510000000,86.0,5,2012,아파트,매매,false
SAMPLE-005,서울시 학습구 먼거리로 5,37.5865,126.9780,2025-09-01,505000000,84.0,9,2015,아파트,매매,false
SAMPLE-006,서울시 학습구 넓은집로 6,37.5670,126.9785,2025-06-01,700000000,110.0,15,2016,아파트,매매,false
SAMPLE-007,서울시 학습구 오래된집로 7,37.5675,126.9775,2025-05-11,390000000,84.0,3,1999,아파트,매매,false
SAMPLE-008,서울시 학습구 미래로 8,37.5660,126.9790,2026-01-10,540000000,84.0,11,2015,아파트,매매,false
SAMPLE-009,서울시 학습구 취소로 9,37.5655,126.9770,2025-11-01,900000000,84.0,14,2015,아파트,매매,true
SAMPLE-010,서울시 학습구 다른유형로 10,37.5668,126.9782,2025-04-01,300000000,84.0,8,2015,오피스텔,매매,false
SAMPLE-011,서울시 학습구 전세로 11,37.5662,126.9784,2025-02-01,350000000,84.0,6,2015,아파트,전세,false
SAMPLE-012,서울시 학습구 오래된거래로 12,37.5664,126.9778,2023-10-01,430000000,84.0,4,2015,아파트,매매,false
SAMPLE-101,서울시 학습구 부족로 1,37.6000,127.1000,2025-08-01,410000000,84.0,9,2015,아파트,매매,false
SAMPLE-102,서울시 학습구 부족로 2,37.6020,127.1020,2025-05-01,420000000,83.0,10,2016,아파트,매매,false

